,Unnamed: 0,zip,num,lat,lng
0,0,80112,2,39.57258,-104.8574
1,1,12771,2,41.3744,-74.62464
2,2,18938,2,40.35238,-74.9975
3,3,80205,8,39.75866,-104.96339
4,4,53705,4,43.07364,-89.46339
7,7,63117,3,38.63085,-90.33107
8,8,63501,1,40.16727,-92.59033
9,9,84532,11,38.50073,-109.53381
11,11,80736,4,40.81135,-103.03547
13,13,10549,6,41.20069,-73.72098
16,16,71106,6,32.38572,-93.73634
17,17,11968,3,40.907,-72.41279
18,18,11530,2,40.72737,-73.63725
19,19,83835,7,47.79612,-116.65828
20,20,32320,1,29.73685,-85.0901
21,21,78257,2,29.66124,-98.58356
22,22,13820,5,42.47468,-75.04058
23,23,11204,1,40.61871,-73.98492
24,24,90069,3,34.09386,-118.38171
25,25,30518,3,34.13191,-84.02636
26,26,94110,6,37.74994,-122.41539
27,27,61550,34,40.61088,-89.44206
28,28,53597,1,43.18256,-89.45691
29,29,89012,2,36.01194,-115.04397
30,30,19958,2,38.72894,-75.16498
32,32,33071,3,26.24384,-80.2662
33,33,80007,13,39.86605,-105.19937
34,34,80247,2,39.69715,-104.88179
35,35,21617,2,39.04974,-76.03974
36,36,50325,2,41.61465,-93.79823
38,38,94508,6,38.57675,-122.4442
39,39,33496,19,26.40803,-80.1604
40,40,93446,7,35.66353,-120.73097
41,41,19807,3,39.79762,-75.60979
42,42,20176,1,39.1821,-77.53593
43,43,94558,2,38.4549,-122.25643
44,44,18974,1,40.21597,-75.07296
45,45,28104,7,35.06048,-80.69576
46,46,22182,2,38.93568,-77.27194
49,49,30327,2,33.86622,-84.42317
50,50,48236,12,42.42502,-82.89655
51,51,63105,8,38.64432,-90.32833
52,52,94010,7,37.56932,-122.3653
53,53,20850,7,39.09129,-77.18085
54,54,93405,2,35.29784,-120.72718
55,55,91773,2,34.11004,-117.80981
56,56,37064,1,35.88756,-86.95881
57,57,40220,4,38.21549,-85.61724
58,58,94025,22,37.46321,-122.17249
59,59,60035,14,42.18367,-87.81056
60,60,84032,2,40.36183,-111.2011
61,61,80227,1,39.66717,-105.08962
62,62,30022,1,34.03027,-84.2472
63,63,80228,2,39.69002,-105.15677
64,64,53562,3,43.11646,-89.54157
65,65,95818,1,38.55588,-121.49664
66,66,84121,1,40.62561,-111.69818
68,68,94111,7,37.79891,-122.39834
69,69,28562,2,35.08049,-77.12678
70,70,94506,3,37.8081,-121.90636
71,71,52803,1,41.53865,-90.55607
73,73,98498,1,47.16231,-122.55452
74,74,10075,7,40.77335,-73.95622
77,77,20815,33,38.98364,-77.07861
78,78,80517,15,40.40027,-105.61164
79,79,10710,1,40.96732,-73.84713
81,81,94610,3,37.8114,-122.24237
82,82,85205,3,33.43232,-111.7187
83,83,54703,2,44.83443,-91.51609
84,84,98467,3,47.20405,-122.54641
85,85,29407,8,32.79915,-79.99867
86,86,80138,5,39.51759,-104.67107
87,87,27101,23,36.11173,-80.19857
88,88,27217,4,36.19274,-79.38335
89,89,82009,2,41.3782,-104.84869
90,90,85260,2,33.60959,-111.89159
91,91,53098,7,43.24963,-88.71305
92,92,40513,6,38.01594,-84.60641
93,93,30337,10,33.64005,-84.45006
94,94,94549,27,37.89743,-122.1166
95,95,93012,3,34.20328,-118.99795
96,96,30344,4,33.67512,-84.46026
97,97,77024,26,29.77084,-95.51161
98,98,92270,3,33.76591,-116.42728
99,99,37203,1,36.14934,-86.79033
100,100,93451,5,35.90037,-120.59288
101,101,30319,4,33.87895,-84.33619
102,102,17325,1,39.82788,-77.22677
103,103,78703,27,30.29409,-97.76571
104,104,80218,2,39.73096,-104.97065
105,105,80524,2,40.65295,-105.02629
106,106,98110,6,47.64469,-122.54353
108,108,48220,1,42.45807,-83.13521
109,109,97459,5,43.48361,-124.17284
111,111,75001,2,32.96,-96.83849
112,112,94089,9,37.41154,-122.01404
113,113,48187,2,42.32916,-83.48782
114,114,11050,8,40.83849,-73.69071
116,116,60189,2,41.83975,-88.11786
117,117,98027,2,47.50138,-121.99933
118,118,25411,3,39.55551,-78.21892
120,120,76126,4,32.63382,-97.51239
121,121,92110,1,32.76519,-117.1999
122,122,94123,31,37.80046,-122.43821
123,123,95051,8,37.34861,-121.98434
124,124,30326,3,33.84941,-84.36392
126,126,10583,10,40.98924,-73.7931
127,127,78701,12,30.27049,-97.74235
128,128,43082,1,40.15243,-82.88199
129,129,75013,3,33.11467,-96.69411
130,130,19027,1,40.07349,-75.1242
131,131,80130,1,39.53062,-104.92323
132,132,37030,6,36.27439,-85.94758
134,134,10709,2,40.95459,-73.80935
135,135,19106,10,39.94865,-75.14296
136,136,33484,3,26.45428,-80.13445
137,137,78209,9,29.48907,-98.4567
138,138,93953,13,36.58571,-121.94389
139,139,78239,1,29.51681,-98.36304
140,140,94087,7,37.35154,-122.03688
141,141,31021,2,32.49306,-82.93909
142,142,60187,4,41.87241,-88.11229
143,143,60015,2,42.17251,-87.87481
144,144,87144,1,35.32392,-106.70973
145,145,98303,1,47.15783,-122.70387
146,146,10019,2,40.7657,-73.98706
148,148,55406,1,44.93957,-93.22115
149,149,80015,8,39.62598,-104.77999
150,150,60558,7,41.80612,-87.90159
152,152,46814,1,41.04592,-85.30348
153,153,76049,1,32.46394,-97.70805
154,154,94531,3,37.96574,-121.77582
155,155,29926,10,32.22801,-80.75234
156,156,28207,15,35.19512,-80.82622
157,157,80018,1,39.69289,-104.69551
159,159,75061,2,32.82605,-96.9655
160,160,27016,59,36.45168,-80.21452
162,162,97034,4,45.40926,-122.68384
163,163,56377,2,45.6414,-94.22927
164,164,60025,14,42.0754,-87.82044
168,168,15601,7,40.31519,-79.53552
169,169,75703,1,32.23855,-95.32063
171,171,80121,2,39.61115,-104.9532
172,172,29401,3,32.77869,-79.93494
173,173,32819,2,28.4559,-81.47105
174,174,92625,2,33.60216,-117.86558
175,175,60457,7,41.72464,-87.82808
176,176,95014,36,37.30494,-122.08069
177,177,89134,2,36.20274,-115.30777
180,180,80304,13,40.04547,-105.29048
183,183,87506,12,35.81952,-105.98861
184,184,91932,12,32.57609,-117.1194
185,185,33704,4,27.79665,-82.63295
187,187,29223,2,34.09243,-80.92143
188,188,54952,3,44.20034,-88.32884
189,189,99202,5,47.65743,-117.37908
190,190,94611,9,37.83007,-122.2022
191,191,17601,1,40.07357,-76.31453
192,192,94903,14,38.02479,-122.55223
193,193,78665,5,30.54488,-97.64378
194,194,43204,1,39.96136,-83.0816
195,195,60062,15,42.12656,-87.84438
198,198,80207,22,39.76227,-104.91662
199,199,80108,16,39.44551,-104.85303
201,201,27403,6,36.0643,-79.82474
202,202,94040,2,37.38058,-122.08535
203,203,93901,2,36.63863,-121.62401
204,204,75069,1,33.16545,-96.59468
205,205,28739,4,35.2636,-82.5464
206,206,91436,3,34.15087,-118.49229
207,207,27510,1,35.91585,-79.08193
208,208,94015,1,37.68122,-122.48052
209,209,94115,63,37.78597,-122.43719
210,210,55345,11,44.91527,-93.48375
212,212,29803,2,33.42181,-81.68
213,213,68516,2,40.73488,-96.64258
214,214,55331,2,44.89951,-93.60394
215,215,43615,3,41.65078,-83.67317
216,216,63130,2,38.665,-90.32528
217,217,94062,23,37.42134,-122.30715
218,218,90254,2,33.86546,-118.39665
219,219,90272,5,34.07991,-118.54219
220,220,80537,3,40.37543,-105.1829
222,222,20037,2,38.89797,-77.05609
223,223,80129,1,39.54463,-105.01081
224,224,22902,2,37.95389,-78.46997
225,225,78064,2,28.93613,-98.42571
226,226,60521,7,41.79998,-87.92879
227,227,95404,1,38.46565,-122.65198
229,229,76209,2,33.2316,-97.1099
230,230,40059,2,38.35884,-85.59434
231,231,98841,1,48.35883,-119.26948
232,232,11743,16,40.88124,-73.42679
233,233,90230,19,33.9972,-118.39458
234,234,80305,32,39.97469,-105.2492
235,235,92107,4,32.73981,-117.24372
236,236,11932,4,40.93905,-72.30785
237,237,96737,2,19.07026,-155.77587
238,238,94920,11,37.88749,-122.46576
239,239,75218,1,32.84154,-96.70237
240,240,27712,1,36.09689,-78.90212
241,241,66216,2,39.01384,-94.74115
242,242,50010,3,42.0336,-93.58826
243,243,60068,6,42.0125,-87.84355
244,244,92262,1,33.86055,-116.56152
245,245,94708,4,37.90265,-122.26195
246,246,48084,4,42.56064,-83.17572
247,247,54636,2,44.00759,-91.22657
248,248,78254,2,29.5369,-98.73775
249,249,77057,5,29.74546,-95.48868
250,250,94102,2,37.7797,-122.41924
251,251,97225,3,45.50218,-122.77008
252,252,92101,2,32.72396,-117.17072
253,253,90026,6,34.07928,-118.263
255,255,77098,4,29.73487,-95.41529
256,256,56082,2,44.35226,-94.03246
257,257,94121,11,37.77651,-122.49449
258,258,77027,14,29.74023,-95.44589
259,259,80003,1,39.82648,-105.06329
260,260,32750,4,28.70614,-81.352
261,261,77019,14,29.7532,-95.41008
262,262,13413,1,43.05898,-75.27709
264,264,98055,4,47.44695,-122.20142
265,265,34243,1,27.40322,-82.52958
266,266,78750,3,30.41827,-97.80246
267,267,13214,11,43.0382,-76.0743
268,268,80424,6,39.47099,-106.0169
269,269,94539,17,37.51685,-121.91177
270,270,92091,5,33.01093,-117.21135
271,271,50321,3,41.53945,-93.67288
272,272,76107,1,32.74171,-97.38196
273,273,10510,16,41.14094,-73.83447
274,274,98052,2,47.68125,-122.12025
275,275,17022,1,40.16632,-76.60867
276,276,10956,2,41.1569,-73.99436
277,277,70508,4,30.15553,-92.02861
278,278,11566,2,40.66312,-73.55412
279,279,19096,2,39.99786,-75.27419
280,280,98607,7,45.64338,-122.38206
281,281,63122,1,38.57921,-90.42014
282,282,92592,8,33.5111,-117.03089
